-----INSERCIONES DE CLIENTES--------------
INSERT INTO cliente VALUES(1,'Juan','Medellín',1234);
INSERT INTO cliente VALUES(2,'Luis','Medellín',63456);
INSERT INTO cliente VALUES(3,'Miguel','Medellín',345356);
INSERT INTO cliente VALUES(4,'Daniel','Medellín',43267);
INSERT INTO cliente VALUES(5,'Camilo','Medellín',866753);
INSERT INTO cliente VALUES(6,'Felipe','Medellín',34367);
INSERT INTO cliente VALUES(7,'Dario','Medellín',NULL);
INSERT INTO cliente VALUES(8,'Omar','Medellín',23573);
INSERT INTO cliente VALUES(9,'Glenn','Medellín',23568);
INSERT INTO cliente VALUES(10,'Hector','Medellín',12468);
INSERT INTO cliente VALUES(11,'Maruja','Medellín',23678);
INSERT INTO cliente VALUES(12,'Socorro','Medellín',NULL);
INSERT INTO cliente VALUES(13,'Anabel','Sogamoso',23257);
INSERT INTO cliente VALUES(14,'Yamile','Sogamoso',23557);
INSERT INTO cliente VALUES(15,'Patricia','Sogamoso',876545);
INSERT INTO cliente VALUES(16,'Sebastian','Sogamoso',435576);
INSERT INTO cliente VALUES(17,'Julian','Sogamoso',346745);
INSERT INTO cliente VALUES(18,'Francisco','Sogamoso',NULL);
INSERT INTO cliente VALUES(19,'Javier','Sogamoso',34663);
INSERT INTO cliente VALUES(20,'Demetrio','Sogamoso',434667);
INSERT INTO cliente VALUES(21,'Nayme','Pasto',345778);
INSERT INTO cliente VALUES(22,'Laura','Pasto',NULL);
INSERT INTO cliente VALUES(23,'Estella','Pasto',NULL);
INSERT INTO cliente VALUES(24,'Yolanda','Pasto',NULL);
INSERT INTO cliente VALUES(25,'Nicolas','Pasto',246676);
INSERT INTO cliente VALUES(26,'Cristian','Cali',NULL);
INSERT INTO cliente VALUES(27,'Jhon','Cali',34667);
INSERT INTO cliente VALUES(28,'Eduardo','Cali',34656);
INSERT INTO cliente VALUES(29,'Gersson','Cali',NULL);
INSERT INTO cliente VALUES(30,'Freddy','Cali',NULL);



-----INSERCIONES DE PRODUCTOS-------------

INSERT INTO producto VALUES(1,'Bicicleta',250000);
INSERT INTO producto VALUES(2,'Iphone',1500000);
INSERT INTO producto VALUES(3,'Computador',1000000);
INSERT INTO producto VALUES(4,'Mouse',250000);
INSERT INTO producto VALUES(5,'Silla',400000);
INSERT INTO producto VALUES(6,'Mesa',146000);
INSERT INTO producto VALUES(7,'Bombillo',32000);
INSERT INTO producto VALUES(8,'Alcancia',500);
INSERT INTO producto VALUES(9,'Open English',1300000);
INSERT INTO producto VALUES(10,'CD de Blink 182',12000);
INSERT INTO producto VALUES(11,'CD de Guns and Roses',12000);
INSERT INTO producto VALUES(12,'Teclado',25000);
INSERT INTO producto VALUES(13,'Lampara',30000);
INSERT INTO producto VALUES(14,'Libro de Programación',60000);
INSERT INTO producto VALUES(15,'Maleta',100000);
INSERT INTO producto VALUES(16,'Puerta',120000);
INSERT INTO producto VALUES(17,'Nevera',450000);
INSERT INTO producto VALUES(18,'Zapatos',90000);
INSERT INTO producto VALUES(19,'Licencia de Oracle',800000);
INSERT INTO producto VALUES(20,'Camarote',450000);
INSERT INTO producto VALUES(21,'Diadema',60000);
INSERT INTO producto VALUES(22,'Pantalon',50000);
INSERT INTO producto VALUES(23,'Gato',30000);
INSERT INTO producto VALUES(24,'Sabanas',20000);
INSERT INTO producto VALUES(25,'Loción',40000);
INSERT INTO producto VALUES(26,'Lapicero ultra delgado',56000);
INSERT INTO producto VALUES(27,'Regla',2000);
